x1;y1;x2;y2
0,0;1129,0;1,0;1,0
0,5;1083,4;2,0;8,0
0,6;1079,7;3,0;27,0
1,0;935,4;4,0;64,0
1,0;1077,9;;
1,0;867,7;;
1,0;1155,4;;
1,0;794,1;;
1,1;1105,5;;
1,5;1111,9;;
1,7;1081,7;;
1,7;1128,2;;
1,7;1015,1;;
2,2;905,0;;
2,4;844,3;;
2,8;1095,5;;
3,1;1120,9;;
3,1;1112,8;;
3,4;1095,6;;
3,5;853,7;;
3,9;847,9;;
4,4;1105,2;;
4,7;993,3;;
4,9;752,4;;
4,9;1117,3;;
4,9;1116,0;;
5,2;1057,7;;
5,4;1017,4;;
5,8;775,0;;
5,8;975,4;;
6,3;1092,2;;
6,4;1093,2;;
7,4;1122,3;;
7,4;1147,6;;
7,5;1135,2;;
7,7;1070,3;;
7,8;744,4;;
7,9;700,8;;
9,2;874,9;;
9,2;1064,6;;
9,7;1124,7;;
10,3;937,6;;
10,3;928,9;;
10,4;734,7;;
10,5;1120,8;;
10,6;800,5;;
10,9;765,4;;
11,1;994,6;;
11,2;1105,8;;
11,8;1092,4;;
12,1;768,8;;
12,3;788,9;;
12,6;1088,2;;
13,1;1091,5;;
13,5;1087,9;;
14,5;1057,0;;
15,8;953,3;;
16,1;1071,1;;
16,3;1096,4;;
16,5;1117,0;;
17,3;1121,0;;
18,3;1101,6;;
18,6;672,2;;
18,7;665,3;;
19,0;993,6;;
20,1;742,0;;
20,1;689,3;;
20,1;783,2;;
20,1;853,8;;
20,8;1137,0;;
22,2;1054,4;;
22,7;738,9;;
22,9;692,1;;
23,5;1026,7;;
23,6;618,6;;
23,7;680,0;;
25,2;615,3;;
25,6;583,9;;
25,9;757,4;;
26,3;833,8;;
27,1;869,3;;
28,5;637,9;;
30,6;586,1;;
30,7;632,0;;
33,4;560,8;;
34,0;530,4;;
34,3;549,4;;
35,3;584,4;;
35,6;487,6;;
37,1;543,8;;
38,0;550,1;;
38,1;512,8;;
43,1;395,8;;
43,5;480,6;;
44,4;483,5;;
45,7;475,9;;
48,5;462,6;;
51,6;401,0;;
52,2;466,5;;
54,0;387,4;;
56,3;465,5;;
57,3;404,9;;
57,6;358,5;;
59,3;375,4;;
59,5;374,4;;
59,7;439,1;;
60,5;423,5;;
63,1;360,3;;
64,9;424,6;;
65,7;340,5;;
67,9;349,6;;
68,0;317,5;;
68,6;327,4;;
69,3;313,2;;
71,1;323,1;;
72,1;340,6;;
72,4;307,8;;
72,7;294,7;;
74,2;268,5;;
75,6;219,4;;
77,3;270,6;;
79,3;294,7;;
82,0;300,6;;
83,6;220,9;;
83,8;266,8;;
84,0;191,4;;
84,7;247,0;;
84,8;260,9;;
85,8;288,9;;
85,9;278,4;;
86,6;214,0;;
87,5;222,3;;
88,0;265,1;;
89,0;175,5;;
90,1;160,2;;
91,3;111,9;;
91,9;115,9;;
92,8;208,4;;
93,5;227,1;;
93,8;243,5;;
93,9;197,9;;
95,2;237,7;;
95,9;131,1;;
96,3;183,3;;
96,3;176,2;;
96,9;216,9;;
97,0;87,7;;
97,1;150,7;;
97,2;153,7;;
97,9;117,8;;
98,0;225,2;;
98,3;160,6;;
98,9;173,8;;
99,5;102,2;;
100,2;151,0;;
101,2;107,8;;
101,3;70,5;;
101,3;117,3;;
101,7;103,2;;
101,7;121,1;;
101,9;153,9;;
102,4;150,8;;
102,8;105,7;;
102,9;232,8;;
103,7;164,9;;
104,0;135,8;;
104,5;136,7;;
104,7;103,3;;
105,2;99,5;;
105,2;59,0;;
105,2;86,0;;
105,4;71,7;;
105,5;117,9;;
106,0;64,6;;
106,0;76,4;;
106,3;185,9;;
106,9;149,2;;
107,0;59,7;;
107,1;94,3;;
108,0;109,7;;
108,0;81,5;;
108,4;82,0;;
108,6;83,4;;
108,8;112,8;;
108,8;111,4;;
109,1;102,1;;
109,3;64,5;;
109,4;85,4;;
109,4;113,6;;
109,5;144,1;;
109,6;68,7;;
109,8;82,3;;
109,8;65,7;;
109,8;59,8;;
110,2;80,7;;
110,2;37,1;;
110,4;70,9;;
110,7;132,5;;
111,0;107,8;;
111,1;93,5;;
111,2;145,0;;
111,5;101,9;;
111,6;89,3;;
112,5;73,4;;
113,3;77,5;;
113,6;70,9;;
113,6;76,2;;
113,9;71,4;;
113,9;69,8;;
114,4;76,2;;
114,7;113,1;;
114,7;79,1;;
114,8;92,7;;
115,2;72,5;;
115,3;72,5;;
115,5;67,7;;
115,5;68,1;;
115,6;64,4;;
115,7;64,1;;
115,8;77,2;;
116,3;72,6;;
116,4;64,0;;
116,4;106,2;;
116,6;65,9;;
116,6;72,9;;
116,8;63,6;;
117,2;60,5;;
117,3;72,8;;
117,5;66,4;;
117,5;51,8;;
117,7;49,6;;
117,8;46,8;;
117,8;97,3;;
118,2;88,1;;
118,5;86,9;;
118,5;72,2;;
118,5;61,9;;
118,6;84,5;;
118,8;61,2;;
119,3;71,3;;
119,3;78,4;;
119,5;74,8;;
119,7;86,5;;
119,7;23,9;;
120,0;83,7;;
120,2;57,7;;
120,3;91,6;;
120,3;82,4;;
120,3;90,3;;
120,3;68,3;;
120,3;58,2;;
120,7;69,7;;
120,9;79,5;;
120,9;57,8;;
120,9;116,5;;
121,2;67,6;;
121,3;119,9;;
121,4;68,8;;
121,4;59,2;;
121,7;51,3;;
121,9;68,7;;
121,9;74,2;;
122,1;65,8;;
122,2;65,0;;
122,3;68,6;;
122,4;70,9;;
122,5;71,4;;
122,6;67,7;;
122,6;66,4;;
122,9;78,5;;
123,0;74,7;;
123,1;36,1;;
123,4;66,3;;
123,4;64,2;;
123,9;51,0;;
123,9;41,5;;
124,2;94,1;;
125,2;49,6;;
125,2;40,1;;
125,3;65,1;;
125,6;64,4;;
125,6;78,5;;
126,0;71,0;;
126,3;53,2;;
126,5;43,4;;
126,5;65,7;;
126,6;86,1;;
126,7;59,8;;
126,7;72,8;;
126,8;74,4;;
126,9;31,8;;
127,0;56,0;;
127,2;53,9;;
127,5;72,0;;
127,6;38,1;;
127,9;75,0;;
128,6;94,9;;
129,0;53,7;;
129,7;54,0;;
129,8;52,8;;
129,9;86,0;;
130,6;93,2;;
130,6;50,7;;
131,4;65,7;;
133,2;67,0;;
138,7;74,4;;
1150,2;852,0;;
